hold_id,user_id,book_id,library_id,n_access,hold_date
1,875,166,4,2,2020-12-22
2,984,409,1,2,2021-01-22
3,931,362,2,1,2021-02-16
4,870,372,6,2,2021-03-02
5,812,480,6,2,2021-06-08
6,928,371,5,1,2021-07-10
7,872,115,1,2,2021-07-13
8,832,593,5,1,2021-07-26
9,781,183,3,1,2021-08-09
10,859,542,2,2,2021-08-11
11,990,435,3,1,2021-08-14
12,862,159,3,2,2021-08-16
13,757,553,1,1,2021-08-24
14,707,49,1,2,2021-09-04
15,759,538,4,1,2021-09-07
16,804,16,4,2,2021-09-27
17,717,210,6,1,2021-10-01
18,716,481,1,2,2021-10-08
19,896,594,6,2,2021-10-15
20,973,264,6,2,2021-10-23
21,745,197,5,2,2021-11-10
22,934,236,2,1,2021-11-30
23,845,6,6,1,2021-12-27
24,726,571,1,1,2022-01-02
25,863,395,5,1,2022-01-06
26,755,258,6,1,2022-01-21
27,753,110,2,2,2022-01-24
28,888,38,2,1,2022-02-22
29,706,441,3,1,2022-02-28
30,758,11,5,1,2022-03-01
31,710,26,2,1,2022-03-10
32,953,354,6,1,2022-03-10
33,770,118,4,2,2022-03-20
34,830,250,4,1,2022-03-21
35,968,24,6,1,2022-03-21
36,989,339,3,2,2022-03-27
37,962,574,4,1,2022-03-28
38,815,189,3,2,2022-03-29
39,748,443,5,1,2022-03-31
40,779,399,3,2,2022-04-03
41,1000,142,4,1,2022-04-23
42,817,589,1,1,2022-04-25
43,947,191,5,2,2022-04-27
44,761,226,4,1,2022-05-09
45,971,117,3,1,2022-05-22
46,945,43,1,2,2022-05-25
47,723,357,3,2,2022-05-31
48,876,552,6,2,2022-06-10
49,743,300,6,2,2022-06-12
50,858,297,3,2,2022-06-13
51,790,150,6,1,2022-06-21
52,831,78,6,2,2022-06-26
53,727,466,4,2,2022-06-29
54,994,596,2,2,2022-06-30
55,801,275,5,2,2022-07-06
56,838,291,3,1,2022-07-07
57,853,102,6,1,2022-07-13
58,982,17,5,2,2022-07-14
59,996,452,2,2,2022-07-15
60,997,439,1,2,2022-07-15
61,975,433,1,1,2022-07-28
62,793,532,4,1,2022-07-29
63,964,235,1,2,2022-07-31
64,978,223,1,1,2022-08-09
65,892,156,6,2,2022-08-09
66,768,219,3,2,2022-08-09
67,802,507,3,2,2022-08-19
68,926,246,6,1,2022-08-20
69,784,541,1,1,2022-08-23
70,800,375,3,2,2022-08-27
71,966,269,5,2,2022-08-29
72,992,18,6,2,2022-08-29
73,836,85,1,2,2022-09-07
74,969,551,5,1,2022-09-09
75,777,285,3,2,2022-09-10
76,714,209,5,2,2022-09-10
77,952,245,5,1,2022-09-16
78,873,465,3,1,2022-09-20
79,750,79,1,2,2022-10-02
80,991,369,3,2,2022-10-04
81,874,57,3,1,2022-10-05
82,906,522,6,2,2022-10-11
83,935,3,3,1,2022-10-13
84,909,251,5,2,2022-10-14
85,740,278,2,1,2022-10-22
86,731,71,5,2,2022-10-28
87,986,89,5,2,2022-10-30
88,798,249,3,1,2022-11-03
89,799,7,1,2,2022-11-07
90,847,25,1,1,2022-11-08
91,899,404,2,1,2022-11-26
92,715,323,5,2,2022-11-28
93,908,279,3,1,2022-12-02
94,891,322,4,2,2022-12-06
95,807,213,3,2,2022-12-10
96,794,312,6,2,2022-12-13
97,808,336,6,1,2022-12-15
98,955,365,5,1,2022-12-15
99,943,221,5,2,2022-12-16
100,918,474,6,2,2022-12-22
101,766,125,5,1,2022-12-25
102,818,87,3,2,2022-12-27
103,819,95,5,2,2023-01-03
104,850,473,5,2,2023-01-05
105,848,588,6,2,2023-01-06
106,980,444,6,1,2023-01-07
107,809,437,5,2,2023-01-08
108,744,363,3,1,2023-01-11
109,871,287,5,1,2023-01-16
110,816,557,5,2,2023-01-18
111,719,31,1,2,2023-01-29
112,988,164,2,1,2023-01-30
113,901,273,3,1,2023-02-02
114,995,590,2,2,2023-02-05
115,887,181,1,1,2023-02-07
116,939,361,1,2,2023-02-10
117,868,317,5,1,2023-02-11
118,967,556,4,1,2023-02-11
119,774,239,5,1,2023-02-14
120,880,540,6,2,2023-02-15
121,879,1,1,1,2023-02-16
122,869,61,1,2,2023-02-17
123,977,332,2,2,2023-02-17
124,840,114,6,2,2023-02-19
125,849,146,2,2,2023-02-19
126,786,539,5,1,2023-02-21
127,833,576,6,2,2023-03-01
128,751,366,6,1,2023-03-02
129,911,401,5,1,2023-03-08
130,756,145,1,1,2023-03-13
131,792,580,4,1,2023-03-14
132,923,80,2,2,2023-03-14
133,789,12,6,2,2023-03-16
134,929,70,4,2,2023-03-18
135,885,560,2,2,2023-03-25
136,886,592,4,2,2023-03-26
137,932,491,5,2,2023-03-26
138,746,76,4,2,2023-03-30
139,780,77,5,1,2023-04-04
140,741,495,3,2,2023-04-05
141,941,442,4,2,2023-04-06
142,919,305,5,1,2023-04-17
143,925,4,4,1,2023-04-20
144,878,438,6,2,2023-04-20
145,963,558,6,1,2023-04-25
146,912,94,4,2,2023-04-25
147,937,272,2,2,2023-04-26
148,949,299,5,2,2023-04-26
149,782,408,6,2,2023-04-26
150,720,84,6,1,2023-04-26
151,950,46,4,2,2023-04-29
152,827,451,1,2,2023-05-02
153,864,64,4,1,2023-05-03
154,905,587,5,1,2023-05-09
155,983,585,3,1,2023-05-11
156,732,446,2,1,2023-05-20
157,834,90,6,1,2023-05-24
158,895,69,3,1,2023-05-24
159,846,566,2,2,2023-05-24
160,771,570,6,1,2023-05-24
161,709,536,2,2,2023-05-27
162,985,470,2,2,2023-05-27
163,796,430,4,1,2023-05-28
164,917,425,5,2,2023-05-31
165,787,597,3,1,2023-06-04
166,948,109,1,2,2023-06-05
167,844,577,1,2,2023-06-06
168,927,549,3,1,2023-06-07
169,993,498,6,1,2023-06-11
170,957,177,3,2,2023-06-12
171,902,413,5,2,2023-06-13
172,708,406,4,2,2023-06-14
173,842,40,4,2,2023-06-15
174,884,412,4,1,2023-06-15
175,930,487,1,1,2023-06-16
176,813,311,5,1,2023-06-18
177,828,288,6,1,2023-06-19
178,882,454,4,2,2023-06-22
179,711,329,5,1,2023-06-23
180,904,417,3,2,2023-06-26
181,805,529,1,2,2023-06-26
182,767,319,1,2,2023-06-26
183,734,453,3,1,2023-06-26
184,788,58,4,2,2023-06-27
185,754,528,6,2,2023-06-27
186,942,30,6,1,2023-07-01
187,791,256,4,1,2023-07-03
188,735,34,4,1,2023-07-05
189,825,370,4,1,2023-07-05
190,772,204,6,1,2023-07-07
191,810,518,2,1,2023-07-09
192,712,32,2,1,2023-07-10
193,890,248,2,2,2023-07-10
194,981,382,4,2,2023-07-12
195,915,168,6,1,2023-07-17
196,783,292,4,1,2023-07-19
197,814,93,3,1,2023-07-20
198,725,51,3,1,2023-07-21
199,835,212,2,2,2023-07-24
200,769,276,6,2,2023-07-25
201,729,178,4,2,2023-07-29
202,785,136,4,1,2023-07-29
203,851,282,6,1,2023-08-01
204,877,313,1,1,2023-08-01
205,797,434,2,2,2023-08-01
206,936,310,4,1,2023-08-03
207,866,105,3,2,2023-08-04
208,737,8,2,1,2023-08-05
209,861,599,5,2,2023-08-05
210,865,290,2,2,2023-08-06
211,855,524,2,1,2023-08-06
212,856,384,6,1,2023-08-06
213,893,494,2,2,2023-08-06
214,854,345,3,1,2023-08-08
215,960,333,3,1,2023-08-10
216,999,154,4,2,2023-08-13
217,829,510,6,1,2023-08-17
218,972,27,3,1,2023-08-17
219,778,266,2,2,2023-08-18
220,776,429,3,1,2023-08-19
221,860,303,3,1,2023-08-19
222,898,415,1,2,2023-08-20
223,958,488,2,1,2023-08-25
224,946,520,4,2,2023-08-26
225,867,175,1,2,2023-08-26
226,739,186,6,2,2023-08-29
227,965,301,1,2,2023-08-29
228,913,265,1,2,2023-09-01
229,938,132,6,1,2023-09-01
230,897,573,3,2,2023-09-01
231,826,228,6,2,2023-09-06
232,881,229,1,2,2023-09-07
233,736,381,3,1,2023-09-08
234,752,600,6,1,2023-09-08
235,852,302,2,1,2023-09-09
236,976,55,1,2,2023-09-10
237,979,73,1,1,2023-09-11
238,738,484,4,1,2023-09-12
239,894,200,2,1,2023-09-13
240,747,424,4,1,2023-09-17
241,760,141,3,1,2023-09-18
242,970,155,5,2,2023-09-19
243,722,56,2,2,2023-09-19
244,718,420,6,2,2023-09-20
245,811,469,1,2,2023-09-21
246,920,185,5,1,2023-09-23
247,900,83,5,2,2023-09-24
248,742,341,5,1,2023-09-26
249,820,182,2,2,2023-09-27
250,839,321,3,1,2023-09-27
251,713,463,1,2,2023-09-29
252,762,281,5,2,2023-09-29
253,916,173,5,1,2023-09-30
254,959,91,1,2,2023-10-05
255,961,440,2,2,2023-10-07
256,775,547,1,2,2023-10-10
257,956,383,5,1,2023-10-10
258,910,205,1,2,2023-10-11
259,924,330,6,1,2023-10-11
260,733,19,1,1,2023-10-14
261,903,196,4,2,2023-10-14
262,821,232,4,1,2023-10-18
263,841,133,1,2,2023-10-20
264,940,67,1,1,2023-10-21
265,728,516,6,2,2023-10-22
266,914,306,6,2,2023-10-22
267,837,47,5,1,2023-10-23
268,765,537,3,2,2023-10-23
269,954,351,3,1,2023-10-24
270,764,138,6,2,2023-10-25
271,889,193,1,2,2023-10-26
272,806,20,2,1,2023-10-26
273,730,230,2,2,2023-10-27
274,951,23,5,1,2023-10-28
275,921,174,6,2,2023-10-30
276,795,262,4,2,2023-10-31
277,883,376,4,1,2023-10-31
278,763,111,3,1,2023-11-03
279,724,427,1,1,2023-11-06
280,933,50,2,2,2023-11-06
281,721,119,5,2,2023-11-06
282,998,127,1,1,2023-11-08
283,824,211,1,2,2023-11-11
284,843,10,4,1,2023-11-12
